title,score,episode,aired,user
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.30,Movie (12 eps),Mar 2022 - May 2022,"19,586 members"
86,8.29,TV (11 eps),Apr 2021 - Jun 2021,"718,769 members"
Beck,8.29,TV (26 eps),Oct 2004 - Mar 2005,"332,552 members"
Doukyuusei (Movie),8.29,Movie (1 eps),Feb 2016 - Feb 2016,"261,002 members"
Gintama: Shinyaku Benizakura-hen,8.29,Special (1 eps),Dec 2010 - Dec 2010,"42,855 members"
Spy x Family Part 2,8.29,TV (13 eps),Oct 2022 - Dec 2022,"819,231 members"
Steins;Gate: Oukoubakko no Poriomania,8.29,Special (1 eps),Feb 2012 - Feb 2012,"429,304 members"
Tenki no Ko,8.29,Movie (1 eps),Jul 2019 - Jul 2019,"954,679 members"
Kino no Tabi: The Beautiful World,8.29,TV (13 eps),Apr 2003 - Jul 2003,"305,497 members"
Kobayashi-san Chi no Maid Dragon S,8.29,TV (12 eps),Jul 2021 - Sep 2021,"532,519 members"
Major: World Series,8.29,OVA (2 eps),Dec 2011 - Jan 2012,"35,978 members"
Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,TV (94 eps),Jan 1996 - Sep 1998,"485,455 members"
Redline,8.28,Movie (1 eps),Aug 2009 - Aug 2009,"366,042 members"
Shinsekai yori,8.28,TV (25 eps),Sep 2012 - Mar 2013,"764,337 members"
Shirobako,8.28,TV (24 eps),Oct 2014 - Mar 2015,"436,815 members"
Dr. Stone,8.28,TV (24 eps),Jul 2019 - Dec 2019,"1,669,200 members"
Fate/Zero,8.28,TV (13 eps),Oct 2011 - Dec 2011,"1,467,646 members"
Hotarubi no Mori e,8.28,Movie (1 eps),Sep 2011 - Sep 2011,"803,207 members"
Initial D Final Stage,8.28,TV (4 eps),May 2014 - Jun 2014,"136,120 members"
Yuukoku no Moriarty Part 2,8.28,TV (13 eps),Apr 2021 - Jun 2021,"237,200 members"
Tokyo Godfathers,8.27,Movie (1 eps),Nov 2003 - Nov 2003,"282,424 members"
Tsubasa: Tokyo Revelations,8.27,OVA (3 eps),Nov 2007 - Mar 2008,"94,027 members"
World Trigger 3rd Season,8.27,TV (14 eps),Oct 2021 - Jan 2022,"108,690 members"
Yuru Camp△,8.27,TV (12 eps),Jan 2018 - Mar 2018,"470,075 members"
Koukaku Kidoutai,8.27,Movie (1 eps),Nov 1995 - Nov 1995,"615,827 members"
Nodame Cantabile,8.27,TV (23 eps),Jan 2007 - Jun 2007,"309,284 members"
Gin no Saji 2nd Season,8.27,TV (11 eps),Jan 2014 - Mar 2014,"142,977 members"
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.27,Movie (12 eps),Sep 2022 - Nov 2022,"12,517 members"
Gyakkyou Burai Kaiji: Ultimate Survivor,8.27,TV (26 eps),Oct 2007 - Apr 2008,"344,602 members"
Horimiya: Piece,8.27,TV (13 eps),Jul 2023 - Sep 2023,"244,362 members"
Boku no Kokoro no Yabai Yatsu,8.26,TV (12 eps),Apr 2023 - Jun 2023,"205,996 members"
Diamond no Ace: Act II,8.26,TV (52 eps),Apr 2019 - Mar 2020,"86,680 members"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.26,Movie (4 eps),Nov 2019 - Nov 2019,"24,944 members"
Hajime no Ippo: Champion Road,8.26,Special (1 eps),Apr 2003 - Apr 2003,"132,211 members"
Space☆Dandy 2nd Season,8.26,TV (13 eps),Jul 2014 - Sep 2014,"164,016 members"
Stranger: Mukou Hadan,8.26,Movie (1 eps),Sep 2007 - Sep 2007,"326,209 members"
Tenkuu no Shiro Laputa,8.26,Movie (1 eps),Aug 1986 - Aug 1986,"470,363 members"
Kono Subarashii Sekai ni Shukufuku wo! 2,8.26,TV (10 eps),Jan 2017 - Mar 2017,"1,463,304 members"
Naruto: Shippuuden,8.26,TV (500 eps),Feb 2007 - Mar 2017,"2,397,389 members"
Planetes,8.26,TV (26 eps),Oct 2003 - Apr 2004,"247,416 members"
Sasaki to Miyano Movie: Sotsugyou-hen,8.26,Movie (1 eps),Feb 2023 - Feb 2023,"31,823 members"
Kuroshitsuji Movie: Book of the Atlantic,8.25,Movie (1 eps),Jan 2017 - Jan 2017,"190,116 members"
Non Non Biyori Movie: Vacation,8.25,Movie (1 eps),Aug 2018 - Aug 2018,"75,758 members"
Sennen Joyuu,8.25,Movie (1 eps),Sep 2002 - Sep 2002,"180,245 members"
Bakemono no Ko,8.25,Movie (1 eps),Jul 2015 - Jul 2015,"413,982 members"
Dororo,8.25,TV (24 eps),Jan 2019 - Jun 2019,"1,175,393 members"
Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,TV (26 eps),Apr 2011 - Sep 2011,"188,720 members"
Hunter x Hunter: Greed Island Final,8.25,OVA (14 eps),Mar 2004 - Aug 2004,"141,443 members"
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,Special (1 eps),Dec 2015 - Dec 2015,"253,439 members"
Tonari no Totoro,8.25,Movie (1 eps),Apr 1988 - Apr 1988,"1,028,865 members"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.24,TV (13 eps),Oct 2018 - Dec 2018,"1,673,372 members"
Detective Conan: Episode One - The Great Detective Turned Small,8.24,Special (1 eps),Dec 2016 - Dec 2016,"30,073 members"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.24,TV (11 eps),Jan 2023 - Mar 2023,"183,349 members"
Fate/strange Fake: Whispers of Dawn,8.24,Special (1 eps),Jul 2023 - Jul 2023,"64,841 members"
Golden Kamuy 2nd Season,8.24,TV (12 eps),Oct 2018 - Dec 2018,"195,270 members"
Danshi Koukousei no Nichijou,8.23,TV (12 eps),Jan 2012 - Mar 2012,"803,746 members"
Hajime no Ippo: Mashiba vs. Kimura,8.23,OVA (1 eps),Sep 2003 - Sep 2003,"105,895 members"
Youjo Senki Movie,8.23,Movie (1 eps),Feb 2019 - Feb 2019,"268,179 members"
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,TV (25 eps),Oct 2016 - Apr 2017,"138,949 members"
Nodame Cantabile Finale,8.23,TV (11 eps),Jan 2010 - Mar 2010,"126,180 members"
Re:Zero kara Hajimeru Isekai Seikatsu,8.23,TV (25 eps),Apr 2016 - Sep 2016,"2,127,768 members"
Sasaki to Miyano,8.23,TV (12 eps),Jan 2022 - Mar 2022,"178,791 members"
Kono Sekai no Katasumi ni,8.22,Movie (1 eps),Nov 2016 - Nov 2016,"182,729 members"
Kuroko no Basket 2nd Season,8.22,TV (25 eps),Oct 2013 - Mar 2014,"833,504 members"
Majo no Takkyuubin,8.22,Movie (1 eps),Jul 1989 - Jul 1989,"561,721 members"
Major S3,8.22,TV (26 eps),Jan 2007 - Jun 2007,"68,004 members"
Mimi wo Sumaseba,8.22,Movie (1 eps),Jul 1995 - Jul 1995,"347,730 members"
One Piece Movie 14: Stampede,8.22,Movie (1 eps),Aug 2019 - Aug 2019,"178,936 members"
Ookami to Koushinryou,8.22,TV (13 eps),Jan 2008 - Mar 2008,"796,878 members"
Sono Bisque Doll wa Koi wo Suru,8.22,TV (12 eps),Jan 2022 - Mar 2022,"981,492 members"
Bungou Stray Dogs 3rd Season,8.22,TV (12 eps),Apr 2019 - Jun 2019,"602,968 members"
Fruits Basket 1st Season,8.22,TV (25 eps),Apr 2019 - Sep 2019,"795,151 members"
Great Pretender,8.22,TV (23 eps),Jul 2020 - Dec 2020,"631,655 members"
Holo no Graffiti,8.22,ONA (? eps),May 2019 -,"53,189 members"
IDOLiSH7 Third Beat!,8.22,TV (13 eps),Jul 2021 - Sep 2021,"21,123 members"
Tanoshii Muumin Ikka,8.22,TV (78 eps),Apr 1990 - Oct 1991,"26,314 members"
Tengoku Daimakyou,8.22,TV (13 eps),Apr 2023 - Jun 2023,"381,272 members"
Trigun,8.22,TV (26 eps),Apr 1998 - Sep 1998,"740,185 members"
xxxHOLiC◆Kei,8.21,TV (13 eps),Apr 2008 - Jun 2008,"140,499 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21,TV (13 eps),Apr 2015 - Jun 2015,"1,033,482 members"
Kamisama Hajimemashita◎,8.21,TV (12 eps),Jan 2015 - Mar 2015,"393,930 members"
Kotarou wa Hitorigurashi,8.21,ONA (10 eps),Mar 2022 - Mar 2022,"139,597 members"
Magi: The Kingdom of Magic,8.21,TV (25 eps),Oct 2013 - Mar 2014,"824,319 members"
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.21,Movie (1 eps),Oct 2012 - Oct 2012,"195,144 members"
Major S1,8.21,TV (26 eps),Nov 2004 - May 2005,"99,396 members"
Shoujo Shuumatsu Ryokou,8.21,TV (12 eps),Oct 2017 - Dec 2017,"329,180 members"
SKET Dance,8.21,TV (77 eps),Apr 2011 - Sep 2012,"221,654 members"
Ao Ashi,8.21,TV (24 eps),Apr 2022 - Sep 2022,"193,198 members"
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,Movie (1 eps),Jul 2000 - Jul 2000,"113,354 members"
Detective Conan Movie 13: The Raven Chaser,8.21,Movie (1 eps),Apr 2009 - Apr 2009,"58,164 members"
Dr. Stone: Ryuusui,8.21,Special (1 eps),Jul 2022 - Jul 2022,"252,463 members"
Kaguya-hime no Monogatari,8.21,Movie (1 eps),Nov 2013 - Nov 2013,"221,972 members"
BanG Dream! It's MyGO!!!!!,8.20,TV (13 eps),Jun 2023 - Sep 2023,"11,660 members"
Berserk: Ougon Jidai-hen III - Kourin,8.20,Movie (1 eps),Feb 2013 - Feb 2013,"218,349 members"
Detective Conan Movie 26: Kurogane no Submarine,8.20,Movie (1 eps),Apr 2023 - Apr 2023,"7,890 members"
Hachimitsu to Clover II,8.20,TV (12 eps),Jun 2006 - Sep 2006,"105,227 members"
Haikyuu!! Movie 4: Concept no Tatakai,8.20,Movie (1 eps),Sep 2017 - Sep 2017,"80,663 members"
Horimiya,8.20,TV (13 eps),Jan 2021 - Apr 2021,"1,299,308 members"
InuYasha: Kanketsu-hen,8.20,TV (26 eps),Oct 2009 - Mar 2010,"276,438 members"
Vanitas no Karte Part 2,8.20,TV (12 eps),Jan 2022 - Apr 2022,"260,032 members"
ReLIFE: Kanketsu-hen,8.20,Special (4 eps),Mar 2018 - Mar 2018,"379,647 members"
Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.20,Special (1 eps),Dec 2018 - Dec 2018,"211,272 members"
Shoujo Kakumei Utena,8.20,TV (39 eps),Apr 1997 - Dec 1997,"212,048 members"
Liz to Aoi Tori,8.19,Movie (1 eps),Apr 2018 - Apr 2018,"132,681 members"
Lycoris Recoil,8.19,TV (13 eps),Jul 2022 - Sep 2022,"448,639 members"
Maison Ikkoku,8.19,TV (96 eps),Mar 1986 - Mar 1988,"70,444 members"
Major S2,8.19,TV (26 eps),Dec 2005 - Jun 2006,"70,551 members"
Major S4,8.19,TV (26 eps),Jan 2008 - Jun 2008,"64,260 members"
No Game No Life: Zero,8.19,Movie (1 eps),Jul 2017 - Jul 2017,"845,726 members"
Nomad: Megalo Box 2,8.19,TV (13 eps),Apr 2021 - Jun 2021,"194,352 members"
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19,Special (1 eps),Aug 2013 - Aug 2013,"60,229 members"
Senki Zesshou Symphogear XV,8.19,TV (13 eps),Jul 2019 - Sep 2019,"37,940 members"
Asobi Asobase,8.19,TV (12 eps),Jul 2018 - Sep 2018,"461,041 members"
Bungou Stray Dogs 2nd Season,8.19,TV (12 eps),Oct 2016 - Dec 2016,"823,508 members"
xxxHOLiC Rou,8.19,OVA (2 eps),Apr 2010 - Mar 2011,"68,083 members"
Stand By Me Doraemon 2,8.18,Movie (1 eps),Nov 2020 - Nov 2020,"22,152 members"
Yojouhan Time Machine Blues,8.18,ONA (6 eps),Sep 2022 - Oct 2022,"37,462 members"
Yoru wa Mijikashi Arukeyo Otome,8.18,Movie (1 eps),Apr 2017 - Apr 2017,"121,582 members"
Little Busters! Refrain,8.18,TV (13 eps),Oct 2013 - Dec 2013,"163,628 members"
Non Non Biyori Repeat,8.18,TV (12 eps),Jul 2015 - Sep 2015,"196,079 members"
Bakuman.,8.18,TV (25 eps),Oct 2010 - Apr 2011,"609,426 members"
Ballroom e Youkoso,8.18,TV (24 eps),Jul 2017 - Dec 2017,"324,936 members"
Chihayafuru,8.18,TV (25 eps),Oct 2011 - Mar 2012,"450,410 members"
Fate/stay night: Unlimited Blade Works,8.18,TV (12 eps),Oct 2014 - Dec 2014,"1,041,461 members"
Girls & Panzer Movie,8.18,Movie (1 eps),Nov 2015 - Nov 2015,"103,188 members"
Higurashi no Naku Koro ni Kai,8.18,TV (24 eps),Jul 2007 - Dec 2007,"470,972 members"
Hunter x Hunter: Greed Island,8.18,OVA (8 eps),Feb 2003 - Apr 2003,"152,445 members"
Aria the Natural,8.17,TV (26 eps),Apr 2006 - Sep 2006,"77,448 members"
Black Lagoon: The Second Barrage,8.17,TV (12 eps),Oct 2006 - Dec 2006,"505,636 members"
Detective Conan,8.17,TV (? eps),Jan 1996 -,"339,723 members"
Detective Conan Movie 20: The Darkest Nightmare,8.17,Movie (1 eps),Apr 2016 - Apr 2016,"40,206 members"
Digimon Adventure: Last Evolution Kizuna,8.17,Movie (1 eps),Feb 2020 - Feb 2020,"41,750 members"
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.17,Movie (1 eps),Mar 2011 - Mar 2011,"14,383 members"
Dr. Stone: Stone Wars,8.17,TV (11 eps),Jan 2021 - Mar 2021,"990,199 members"
Dragon Ball Z,8.17,TV (291 eps),Apr 1989 - Jan 1996,"1,193,662 members"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.17,Movie (1 eps),Oct 2017 - Oct 2017,"440,521 members"
Girls & Panzer: Saishuushou Part 3,8.17,Movie (1 eps),Mar 2021 - Mar 2021,"24,756 members"
K-On!!,8.17,TV (26 eps),Apr 2010 - Sep 2010,"678,351 members"
Toaru Kagaku no Railgun T,8.17,TV (25 eps),Jan 2020 - Sep 2020,"223,812 members"
Violet Evergarden: Recollections,8.17,Special (1 eps),Oct 2021 - Oct 2021,"25,476 members"
Yuukoku no Moriarty,8.17,TV (11 eps),Oct 2020 - Dec 2020,"404,630 members"
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,Movie (1 eps),Sep 2008 - Sep 2008,"160,499 members"
Akira,8.16,Movie (1 eps),Jul 1988 - Jul 1988,"822,196 members"
Cardcaptor Sakura,8.16,TV (70 eps),Apr 1998 - Mar 2000,"426,492 members"
Dr. Stone: New World,8.16,TV (11 eps),Apr 2023 - Jun 2023,"396,825 members"
Dragon Ball Super: Broly,8.16,Movie (1 eps),Dec 2018 - Dec 2018,"383,736 members"
Initial D Fourth Stage,8.16,TV (24 eps),Apr 2004 - Feb 2006,"178,391 members"
Initial D Second Stage,8.16,TV (13 eps),Oct 1999 - Jan 2000,"208,459 members"
JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.16,ONA (12 eps),Dec 2021 - Dec 2021,"469,750 members"
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.16,OVA (1 eps),Dec 2016 - Dec 2016,"62,932 members"
Made in Abyss Movie 1: Tabidachi no Yoake,8.16,Movie (1 eps),Jan 2019 - Jan 2019,"122,507 members"
Ouran Koukou Host Club,8.16,TV (26 eps),Apr 2006 - Sep 2006,"1,096,455 members"
Paripi Koumei,8.16,TV (12 eps),Apr 2022 - Jun 2022,"274,889 members"
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.15,Movie (1 eps),Apr 2015 - Apr 2015,"255,393 members"
Lupin III: Cagliostro no Shiro,8.15,Movie (1 eps),Dec 1979 - Dec 1979,"113,064 members"
Major: Message,8.15,OVA (1 eps),Dec 2010 - Dec 2010,"30,065 members"
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.15,Movie (1 eps),Jan 2021 - Jan 2021,"33,753 members"
Noragami Aragoto,8.15,TV (13 eps),Oct 2015 - Dec 2015,"1,421,278 members"
Shokugeki no Souma,8.15,TV (24 eps),Apr 2015 - Sep 2015,"1,605,644 members"
Wu Liuqi: Zui Qiang Fa Xing Shi,8.15,ONA (10 eps),Oct 2019 - Jan 2020,"69,659 members"
Black Clover,8.15,TV (170 eps),Oct 2017 - Mar 2021,"1,593,835 members"
Buddy Daddies,8.15,TV (12 eps),Jan 2023 - Apr 2023,"232,402 members"
Death Parade,8.15,TV (12 eps),Jan 2015 - Mar 2015,"1,718,106 members"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.15,Movie (4 eps),Oct 2019 - Oct 2019,"24,193 members"
Given: Uragawa no Sonzai,8.15,OVA (1 eps),Dec 2021 - Dec 2021,"82,057 members"
Haikyuu!! Movie 3: Sainou to Sense,8.15,Movie (1 eps),Sep 2017 - Sep 2017,"83,702 members"
IDOLiSH7 Second Beat!,8.15,TV (15 eps),Apr 2020 - Dec 2020,"29,938 members"
Jigokuraku,8.15,TV (13 eps),Apr 2023 - Jul 2023,"574,416 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8.15,ONA (1 eps),Oct 2021 - Oct 2021,"54,533 members"
Eiga Daisuki Pompo-san,8.14,Movie (1 eps),Jun 2021 - Jun 2021,"35,358 members"
Given Movie,8.14,Movie (1 eps),Aug 2020 - Aug 2020,"225,667 members"
Hinamatsuri (TV),8.14,TV (12 eps),Apr 2018 - Jun 2018,"496,065 members"
Kaiba,8.14,TV (12 eps),Apr 2008 - Jul 2008,"147,966 members"
Nisemonogatari,8.14,TV (11 eps),Jan 2012 - Mar 2012,"718,371 members"
Nodame Cantabile: Paris-hen,8.14,TV (11 eps),Oct 2008 - Dec 2008,"122,814 members"
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.14,OVA (1 eps),Mar 2022 - Mar 2022,"18,782 members"
Princess Tutu,8.14,TV (38 eps),Aug 2002 - May 2003,"164,835 members"
Skip to Loafer,8.14,TV (12 eps),Apr 2023 - Jun 2023,"213,274 members"
Tensei shitara Slime Datta Ken,8.14,TV (24 eps),Oct 2018 - Mar 2019,"1,372,566 members"
Working!!! Lord of the Takanashi,8.14,Special (1 eps),Mar 2016 - Mar 2016,"101,098 members"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.13,TV (13 eps),Jul 2022 - Sep 2022,"554,136 members"
Eizouken ni wa Te wo Dasu na!,8.13,TV (12 eps),Jan 2020 - Mar 2020,"324,888 members"
Gankutsuou,8.13,TV (24 eps),Oct 2004 - Mar 2005,"244,233 members"
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.13,Special (1 eps),Apr 2015 - Apr 2015,"40,254 members"
Golden Kamuy 4th Season,8.13,TV (13 eps),Oct 2022 - Jun 2023,"86,348 members"
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.13,Movie (1 eps),Dec 2003 - Dec 2003,"72,065 members"
Katekyou Hitman Reborn!,8.13,TV (203 eps),Oct 2006 - Sep 2010,"548,608 members"
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,8.13,TV (13 eps),Apr 2019 - Aug 2019,"21,260 members"
Lupin III: Part 5,8.13,TV (24 eps),Apr 2018 - Sep 2018,"42,870 members"
One Piece Film: Z,8.13,Movie (1 eps),Dec 2012 - Dec 2012,"272,411 members"
Quanzhi Gaoshou Specials,8.13,ONA (3 eps),Apr 2018 - May 2018,"103,626 members"
Seirei no Moribito,8.13,TV (26 eps),Apr 2007 - Sep 2007,"214,338 members"
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.12,Movie (1 eps),Jul 2012 - Jul 2012,"23,504 members"
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.12,Special (1 eps),Aug 2012 - Aug 2012,"68,116 members"
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.12,Movie (1 eps),Apr 2016 - Apr 2016,"10,936 members"
Detective Conan Movie 05: Countdown to Heaven,8.12,Movie (1 eps),Apr 2001 - Apr 2001,"62,000 members"
Ginga Eiyuu Densetsu Gaiden,8.12,OVA (24 eps),Feb 1998 - Sep 1998,"23,543 members"
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.11,Movie (1 eps),Jan 2018 - Jan 2018,"261,842 members"
Detective Conan Movie 14: The Lost Ship in the Sky,8.11,Movie (1 eps),Apr 2010 - Apr 2010,"55,390 members"
Diamond no Ace,8.11,TV (75 eps),Oct 2013 - Mar 2015,"239,037 members"
Durarara!!,8.11,TV (24 eps),Jan 2010 - Jun 2010,"1,377,500 members"
Fullmetal Alchemist,8.11,TV (51 eps),Oct 2003 - Oct 2004,"1,441,932 members"
Kaze Tachinu,8.11,Movie (1 eps),Jul 2013 - Jul 2013,"321,611 members"
Kidou Senshi Gundam 00,8.11,TV (25 eps),Oct 2007 - Mar 2008,"216,241 members"
Kono Subarashii Sekai ni Shukufuku wo!,8.11,TV (10 eps),Jan 2016 - Mar 2016,"1,895,516 members"
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.11,Special (1 eps),Sep 2006 - Sep 2006,"98,599 members"
Kuragehime,8.11,TV (11 eps),Oct 2010 - Dec 2010,"231,069 members"
Mirai Shounen Conan,8.11,TV (26 eps),Apr 1978 - Oct 1978,"48,738 members"
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11,ONA (6 eps),Dec 2019 - Dec 2019,"214,336 members"
Toki wo Kakeru Shoujo,8.11,Movie (1 eps),Jul 2006 - Jul 2006,"776,214 members"
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,8.11,TV (12 eps),Jul 2023 -,"371,375 members"
Tsurune: Tsunagari no Issha,8.10,TV (13 eps),Jan 2023 - Mar 2023,"48,701 members"
Akatsuki no Yona OVA,8.10,OVA (3 eps),Sep 2015 - Dec 2016,"131,577 members"
Boku no Hero Academia 2nd Season,8.10,TV (25 eps),Apr 2017 - Sep 2017,"2,449,049 members"
Detroit Metal City,8.10,OVA (12 eps),Aug 2008 - Oct 2008,"208,158 members"
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.10,Special (1 eps),Nov 2015 - Nov 2015,"33,682 members"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.10,TV (12 eps),Apr 2020 - Jun 2020,"199,763 members"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.10,TV (24 eps),Apr 2014 - Sep 2014,"1,173,334 members"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8.10,ONA (12 eps),Sep 2022 - Sep 2022,"226,677 members"
Kamisama Hajimemashita,8.10,TV (13 eps),Oct 2012 - Dec 2012,"634,935 members"
Kidou Senshi Gundam Unicorn,8.10,OVA (7 eps),Mar 2010 - Jun 2014,"96,762 members"
Kuroko no Basket: Saikou no Present desu,8.10,Special (1 eps),Dec 2015 - Dec 2015,"103,930 members"
Mahoutsukai no Yome: Hoshi Matsu Hito,8.10,OVA (3 eps),Sep 2016 - Sep 2017,"276,418 members"
Overlord IV,8.09,TV (13 eps),Jul 2022 - Sep 2022,"482,918 members"
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.09,OVA (13 eps),Feb 2011 - Jul 2011,"73,938 members"
Serial Experiments Lain,8.09,TV (13 eps),Jul 1998 - Sep 1998,"740,984 members"
Shokugeki no Souma: Ni no Sara,8.09,TV (13 eps),Jul 2016 - Sep 2016,"1,110,534 members"
Stand By Me Doraemon,8.09,Movie (1 eps),Aug 2014 - Aug 2014,"52,419 members"
Tsubasa: Shunraiki,8.09,OVA (2 eps),Mar 2009 - May 2009,"61,382 members"
Tsukimonogatari,8.09,TV (4 eps),Dec 2014 - Dec 2014,"409,525 members"
Uchouten Kazoku 2,8.09,TV (12 eps),Apr 2017 - Jun 2017,"63,188 members"
Zankyou no Terror,8.09,TV (11 eps),Jul 2014 - Sep 2014,"1,136,817 members"
Ansatsu Kyoushitsu,8.09,TV (22 eps),Jan 2015 - Jun 2015,"1,950,984 members"
Baccano! Specials,8.09,Special (3 eps),Feb 2008 - May 2008,"176,843 members"
Douluo Dalu 2nd Season,8.09,ONA (237 eps),Dec 2018 - Jun 2023,"19,233 members"
Gin no Saji,8.09,TV (11 eps),Jul 2013 - Sep 2013,"287,659 members"
Hajime no Ippo: Boxer no Kobushi,8.09,Special (1 eps),Mar 2003 - Mar 2003,"53,293 members"
Initial D Fifth Stage,8.09,TV (14 eps),Nov 2012 - May 2013,"142,026 members"
Black Clover: Mahou Tei no Ken,8.08,Movie (1 eps),Jun 2023 - Jun 2023,"194,470 members"
Fumetsu no Anata e Season 2,8.08,TV (20 eps),Oct 2022 - Mar 2023,"255,912 members"
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,8.08,Movie (1 eps),Dec 1993 - Dec 1993,"33,722 members"
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,8.08,Special (1 eps),Sep 2005 - Sep 2005,"55,466 members"
Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.08,OVA (2 eps),Nov 2013 - Nov 2013,"13,655 members"
Hikaru no Go,8.08,TV (75 eps),Oct 2001 - Mar 2003,"135,401 members"
Kanata no Astra,8.08,TV (12 eps),Jul 2019 - Sep 2019,"293,359 members"
Kidou Senshi Gundam 00 Second Season,8.08,TV (25 eps),Oct 2008 - Mar 2009,"148,628 members"
Kimi wa Houkago Insomnia,8.08,TV (13 eps),Apr 2023 - Jul 2023,"177,107 members"
Kuroko no Basket Movie 4: Last Game,8.08,Movie (1 eps),Mar 2017 - Mar 2017,"294,330 members"
